row_id,offering_id,bm25_mse,EM1_mse
91266,249712,0.0041168136145708,0.1037562594824938
33364,93517,0.0041455084664319,1.644234161955485
29312,214197,1.2307208643667498,1.3730523378135515
83346,1601249,0.9656354425375866,0.9656354425375866
380448,111418,0.3195557842810086,0.2796117409589723
248452,93340,0.0230952423811673,0.0067205488567472
302662,115617,0.1907985331059311,0.3679062010556773
249852,218100,0.3530519960666987,1.4754578718420728
42326,93565,0.0156916031077093,0.5001159206770226
233770,108250,0.2629976897733956,0.1747831876170423
16295,1940859,0.0570361958577065,0.0097327716205564
149910,1218792,0.314726872324257,0.314726872324257
196218,142181,1.0606394922505926,0.249833197806551
368078,111422,0.1451110519605999,0.1612385454898792
412790,295751,2.1923183142874705,0.5689093168066789
95102,93430,2.215506117496289,2.4691623559577223
291577,268240,0.0998361175600985,0.0556575039814782
425634,498949,0.4997809533616646,0.0173723326708263
65221,1390172,0.0069976987388709,0.4032633672338718
95886,612263,0.0881469186134024,0.0881469186134024
212543,665258,0.1022781325593284,0.0380623480623421
24609,112066,0.4266891285681402,0.082418863578271
199046,224214,0.0429589805187453,0.0441784189112703
348304,225032,1.8358495103005743,1.1672705357142856
327700,273699,0.9628086318468262,0.2211332505769484
58962,249711,0.0139712289586741,0.0139712289586741
386850,94337,0.2029280358975743,0.2834340890800259
259774,98675,1.2131358262983325,1.3851469339222011
326651,268139,5.576344086021505,3.3229472859102493
289288,81466,1.963519646042128,0.2735695037606682
132521,114608,0.6078336920477057,0.0740622167114578
302515,291227,0.1484457979710957,0.1632417127443375
140376,87637,0.051021333421413,0.0339126176948036
46643,75688,0.2641003802703777,0.0641603313753885
157960,236299,0.180911128802695,0.5935646120944849
316931,259008,0.8348586719011238,0.2681079874563922
250863,73957,0.0721364226802132,0.3114689624505274
235589,123556,0.0455599483219238,0.0800064479660821
353051,216847,0.7140496172711825,0.5369387755102043
428871,84109,0.3305498768050686,0.0683975382229609
88203,93543,0.1059647591411149,0.0394700616192635
296424,81103,0.1211235171550075,0.1002665391959993
349385,1157336,1.058921285954079,2.159289768316456
396740,89346,0.3122747411277636,0.8209686740843297
36936,93526,0.0774536492315231,0.0774536492315231
389380,223758,0.3106716016038212,0.2404611567422294
248469,625299,0.026997128162982,0.2062222666372791
244683,1237001,0.0077615116936812,0.0131024712226201
269300,88402,0.0094535961832748,0.077732845293118
177082,78694,0.0394775554138053,0.0412364910961092
340909,109174,0.376390261987148,4.39137419673752
296553,81042,0.1920356891333878,0.1920356891333878
224208,119728,0.2146400703639037,0.2001683032031563
412045,84132,0.0721695546237306,0.0617708820222767
50466,281234,0.399072264660337,0.060635916628072
425702,84048,0.2907060506041742,0.4729729656004113
99917,281071,0.067992006736878,0.1075964370952655
406804,573340,1.4124302077503377,0.2019460880724841
224432,119728,0.0711729577690642,0.315133229211853
71870,121996,0.2549924709589717,0.2033342167414697
316683,80990,0.2017264586179541,0.2438552609685575
165553,77237,0.2239735394678161,0.1728864314287874
420863,84104,0.2246819337284214,0.0912797821689022
390608,89575,0.191353035279133,0.2843385563026961
353046,100506,0.3886280143348293,0.185767284420118
288663,80753,0.0864723137388774,0.4558755371135261
134051,87665,0.01144033411684,0.2353168918623464
303962,115623,0.0587668307877061,0.0443298102560268
58549,93450,0.1841972279804807,0.0359536107609618
290284,81141,0.090257317873139,0.3620190336924792
270313,84654,1.1000454826282806,0.1768841298501754
15547,224224,0.0779191611150659,0.1180851364170996
109959,2079052,0.0411306233317404,0.2410370881674045
6226,257507,0.1419070679716667,0.0690726577776518
409853,225100,0.0542023818047874,0.0103645712133665
242339,119769,0.1244412251035304,5.702186350077296
200620,102466,0.0409253013823746,0.0423113462522691
2230,283873,0.0286651131686069,0.1076836675874125
11384,223146,0.0675047619047617,0.1169590217039198
288814,81237,0.750492881352058,0.0874663376543848
53171,287626,0.0663858112062731,0.2457820178093165
338002,1762915,0.0979753958727572,0.0386043202811267
221101,258655,0.3630430922140233,0.2130575879361675
286443,80808,0.125615311473609,0.125615311473609
253246,73855,0.1216492757586906,0.2518841850763724
123067,615260,6.328346622461985,0.0391347141279056
134351,87608,0.0847766292689137,0.0629932177274467
284594,81241,0.016865126849608,0.3988086910611433
238019,498346,0.284950574227931,0.3311378157413847
190396,112132,0.028728543004571,0.2232005871734158
246382,122343,0.3714192248644173,0.1965074470872023
339950,1566903,0.0531605632130107,0.0610632113341202
419741,84107,0.4120843026466756,0.3147348411684929
286813,81461,0.1013464992436848,0.1995972766938698
96007,612263,0.1136557559300782,0.1136557559300782
323707,1751886,0.276405035384222,0.6867223132537745
1020,93338,0.6476009914619247,0.2256804968306009
33429,113297,0.0639888003977389,0.0841650713202974
205967,1147616,0.5512338869794593,0.2204499356390165
272627,81699,0.5538478875385865,0.5051226793811388
